Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-03-13,Under the Skin,2013,https://boxd.it/F9ECB,5,,,2019-03-12
2019-03-16,mid90s,2018,https://boxd.it/FiGaH,3.5,,,2019-03-15
2019-03-17,Skin,2018,https://boxd.it/Flxtr,0.5,,,2019-03-16
2019-03-18,Come and See,1985,https://boxd.it/FokRL,,,,2019-03-17
2019-03-18,Vox Lux,2018,https://boxd.it/Fpkfp,4,,,2019-03-17
2019-03-22,Victoria,2015,https://boxd.it/FBozd,4,,,2019-03-21
2019-03-24,Dogtooth,2009,https://boxd.it/FGAkf,4.5,,,2019-03-23
2019-03-24,Braid,2018,https://boxd.it/FJV8F,4,,,2019-03-24
2019-03-25,Green Book,2018,https://boxd.it/FLnD9,3,,,2019-03-24
2019-03-25,Fantastic Planet,1973,https://boxd.it/FNLHX,4,,,2019-03-25
2019-03-27,Donnie Darko,2001,https://boxd.it/FTYrl,5,,,2019-03-27
2019-03-28,The Killing of a Sacred Deer,2017,https://boxd.it/FWNsN,,,,2019-03-28
2019-03-29,Us,2019,https://boxd.it/FXyRZ,5,,,2019-03-28
2019-03-31,Searching,2018,https://boxd.it/G3gSx,4,,,2019-03-30
2019-04-01,Coherence,2013,https://boxd.it/G7abv,3.5,,,2019-03-31
2019-04-05,A Simple Favor,2018,https://boxd.it/GhSuh,3,,,2019-04-04
2019-04-06,The Student,2016,https://boxd.it/Gky0d,5,,,2019-04-05
2019-04-11,Oxygen,2009,https://boxd.it/GBfcX,4,,,2019-04-11
2019-04-12,Corrections Class,2014,https://boxd.it/GBUqV,4.5,,,2019-04-11
2019-04-13,Eighth Grade,2018,https://boxd.it/GF2ML,4,,,2019-04-12
2019-04-14,Daisies,1966,https://boxd.it/GHPnp,5,,,2019-04-13
2019-04-15,Escape from Alcatraz,1979,https://boxd.it/GKqF5,3,,,2019-04-14
2019-04-20,Zodiac,2007,https://boxd.it/GZ3eF,4,,,2019-04-19
2019-04-21,Crush,2009,https://boxd.it/H1Hof,3,,,2019-04-20
2019-04-24,Acid,2018,https://boxd.it/Hc0zr,4.5,,,2019-04-23
2019-04-27,Antichrist,2009,https://boxd.it/HmQXl,,,,2019-04-27
2019-04-30,Animal Behaviour,2018,https://boxd.it/Hv5y7,3,,,2019-04-29
2019-05-01,Synonyms,2019,https://boxd.it/HxoyJ,5,,,2019-04-30
2019-05-05,Paprika,2006,https://boxd.it/HJzT3,4,,,2019-05-05
2019-05-05,Melancholia,2011,https://boxd.it/HLUrj,5,,,2019-05-05
2019-05-07,Avengers: Endgame,2019,https://boxd.it/HPj2J,3,,,2019-05-06
