Date	Name	Year	Letterboxd URI	Rating	Rewatch	Tags	Watched Date	Genre	Language	Country	Director	Revenue	Budget
2019-03-13	Under the Skin	2013	https://boxd.it/F9ECB	5,00			2019-03-12	Thriller	en	United Kingdom	Jonathan Glazer	5735963	13300000
2019-03-16	mid90s	2018	https://boxd.it/FiGaH	3,50			2019-03-15	Drama	en	United States of America	Jonah Hill	9300000	1700000
2019-03-17	Skin	2018	https://boxd.it/Flxtr	0,50			2019-03-16	Drama	en	United States of America	Guy Nattiv	0	0
2019-03-18	Come and See	1985	https://boxd.it/FokRL	0,00			2019-03-17	Drama	ru	Soviet Union	Elem Klimov	168817	0
2019-03-18	Vox Lux	2018	https://boxd.it/Fpkfp	4,00			2019-03-17	Drama	en	United States of America	Brady Corbet	1300000	7000000
2019-03-22	Victoria	2015	https://boxd.it/FBozd	4,00			2019-03-21	Crime	de	Germany	Sebastian Schipper	3191971	0
2019-03-24	Dogtooth	2009	https://boxd.it/FGAkf	4,50			2019-03-23	Drama	el	Greece	Yorgos Lanthimos	110248	275000
2019-03-24	Braid	2018	https://boxd.it/FJV8F	4,00			2019-03-24	Thriller	en	United States of America	Mitzi Peirone	0	0
2019-03-25	Green Book	2018	https://boxd.it/FLnD9	3,00			2019-03-24	Drama	en	United States of America	Peter Farrelly	319700000	23000000
2019-03-25	Fantastic Planet	1973	https://boxd.it/FNLHX	4,00			2019-03-25	Animation	fr	France	René Laloux	0	0
2019-03-27	Donnie Darko	2001	https://boxd.it/FTYrl	5,00			2019-03-27	Fantasy	en	United States of America	Richard Kelly	7500000	4500000
2019-03-28	The Killing of a Sacred Deer	2017	https://boxd.it/FWNsN	0,00			2019-03-28	Drama	en	Ireland	Yorgos Lanthimos	10700000	3000000
2019-03-29	Us	2019	https://boxd.it/FXyRZ	5,00			2019-03-28	Horror	en	United States of America	Jordan Peele	256067149	20000000
2019-03-31	Searching	2018	https://boxd.it/G3gSx	4,00			2019-03-30	Thriller	en	United States of America	Aneesh Chaganty	75462037	1000000
2019-04-01	Coherence	2013	https://boxd.it/G7abv	3,50			2019-03-31	Thriller	en	United Kingdom	James Ward Byrkit	139745	50000
2019-04-05	A Simple Favor	2018	https://boxd.it/GhSuh	3,00			2019-04-04	Crime	en	United States of America	Paul Feig	97644617	20000000
2019-04-06	The Student	2016	https://boxd.it/Gky0d	5,00			2019-04-05	Drama	ru	Russia	Kirill Serebrennikov	0	0
2019-04-11	Oxygen	2009	https://boxd.it/GBfcX	4,00			2019-04-11	Thriller	ru	Russia	Ivan Vyrypaev	190411	0
2019-04-12	Corrections Class	2014	https://boxd.it/GBUqV	4,50			2019-04-11	Drama	ru	Russia	Ivan I. Tverdovsky	156888	1500000
2019-04-13	Eighth Grade	2018	https://boxd.it/GF2ML	4,00			2019-04-12	Comedy	en	United States of America	Bo Burnham	13539709	2000000
2019-04-14	Daisies	1966	https://boxd.it/GHPnp	5,00			2019-04-13	Comedy	cs	Czechoslovakia	Věra Chytilová	0	0
2019-04-15	Escape from Alcatraz	1979	https://boxd.it/GKqF5	3,00			2019-04-14	Drama	en	United States of America	Don Siegel	43004381	8000000
2019-04-20	Zodiac	2007	https://boxd.it/GZ3eF	4,00			2019-04-19	Crime	en	United States of America	David Fincher	84785914	65000000
2019-04-21	Crush	2009	https://boxd.it/H1Hof	3,00			2019-04-20	Drama	en	Australia	Jeffrey Gerritsen	0	0
2019-04-24	Acid	2018	https://boxd.it/Hc0zr	4,50			2019-04-23	Drama	ru	Russia	Aleksandr Gorchilin	0	0
2019-04-27	Antichrist	2009	https://boxd.it/HmQXl	0,00			2019-04-27	Drama	en	Denmark	Lars von Trier	7413863	11000000
2019-04-30	Animal Behaviour	2018	https://boxd.it/Hv5y7	3,00			2019-04-29	Comedy	en	United States of America	Alison Snowden	0	0
2019-05-01	Synonyms	2019	https://boxd.it/HxoyJ	5,00			2019-04-30	Comedy	fr	France	Nadav Lapid	242483	2500000
2019-05-05	Paprika	2006	https://boxd.it/HJzT3	4,00			2019-05-05	Animation	ja	Japan	Satoshi Kon	946590	0
2019-05-05	Melancholia	2011	https://boxd.it/HLUrj	5,00			2019-05-05	Drama	en	Denmark	Lars von Trier	15946321	7400000
2019-05-07	Avengers: Endgame	2019	https://boxd.it/HPj2J	3,00			2019-05-06	Adventure	en	United States of America	Anthony Russo	2800000000	356000000
2019-05-07	Guava Island	2019	https://boxd.it/HRTBf	3,50			2019-05-07	Comedy	en	United States of America	Hiro Murai	0	0
2019-05-09	Extremely Wicked, Shockingly Evil and Vile	2019	https://boxd.it/HUtnH	2,50			2019-05-08	Drama	en	United States of America	Joe Berlinger	0	0
2019-05-14	Escape Room	2019	https://boxd.it/I8FFV	3,00			2019-05-13	Horror	en	United States of America	Adam Robitel	155700000	9000000
2019-05-15	Roma	2018	https://boxd.it/Ibl4B	5,00			2019-05-14	Drama	es	Mexico	Alfonso Cuarón	1140769	15000000
2019-05-16	High Life	2018	https://boxd.it/IeiFP	4,50			2019-05-15	Science Fiction	en	United Kingdom	Claire Denis	2133033	8933400
2019-05-18	The Witch: Part 1. The Subversion	2018	https://boxd.it/IjBJB	3,00			2019-05-17	Action	ko	South Korea	Park Hoon-jung	24340302	5500000
2019-05-22	Leto	2018	https://boxd.it/IydNz	4,00			2019-05-22	Music	ru	Russia	Kirill Serebrennikov	0	150000
2019-05-23	Amanda	2018	https://boxd.it/IyW0R	3,50			2019-05-22	Drama	fr	France	Mikhaël Hers	0	0
